[ 0.0	 0.0	 0.0	 0.0	 0.0	 3369.0	 14563.0	 1855.0	 13221.0	 ] [ 0.0	 0.0	 0.0	 0.0	 ] [ 1391.0 ]
[ 0.0	 0.0	 0.0	 0.0	 3369.0	 14563.0	 1855.0	 13221.0	 16024.0	 ] [ 0.0	 0.0	 0.0	 1391.0	 ] [ 426.0 ]
[ 0.0	 0.0	 0.0	 3369.0	 14563.0	 1855.0	 13221.0	 16024.0	 13075.0	 ] [ 0.0	 0.0	 1391.0	 426.0	 ] [ 9316.0 ]
[ 0.0	 0.0	 3369.0	 14563.0	 1855.0	 13221.0	 16024.0	 13075.0	 14334.0	 ] [ 0.0	 1391.0	 426.0	 9316.0	 ] [ 513.0 ]
[ 0.0	 3369.0	 14563.0	 1855.0	 13221.0	 16024.0	 13075.0	 14334.0	 1914.0	 ] [ 1391.0	 426.0	 9316.0	 513.0	 ] [ 4114.0 ]
[ 3369.0	 14563.0	 1855.0	 13221.0	 16024.0	 13075.0	 14334.0	 1914.0	 7966.0	 ] [ 426.0	 9316.0	 513.0	 4114.0	 ] [ 1391.0 ]
[ 14563.0	 1855.0	 13221.0	 16024.0	 13075.0	 14334.0	 1914.0	 7966.0	 1.0	 ] [ 9316.0	 513.0	 4114.0	 1391.0	 ] [ 513.0 ]
[ 1855.0	 13221.0	 16024.0	 13075.0	 14334.0	 1914.0	 7966.0	 1.0	 1.0	 ] [ 513.0	 4114.0	 1391.0	 513.0	 ] [ 10202.0 ]
[ 13221.0	 16024.0	 13075.0	 14334.0	 1914.0	 7966.0	 1.0	 1.0	 1.0	 ] [ 4114.0	 1391.0	 513.0	 10202.0	 ] [ 4739.0 ]
[ 16024.0	 13075.0	 14334.0	 1914.0	 7966.0	 1.0	 1.0	 1.0	 1.0	 ] [ 1391.0	 513.0	 10202.0	 4739.0	 ] [ 1.0 ]
[ 0.0	 0.0	 0.0	 0.0	 0.0	 3369.0	 16633.0	 14143.0	 6947.0	 ] [ 0.0	 0.0	 0.0	 0.0	 ] [ 1391.0 ]
[ 0.0	 0.0	 0.0	 0.0	 3369.0	 16633.0	 14143.0	 6947.0	 11833.0	 ] [ 0.0	 0.0	 0.0	 1391.0	 ] [ 375.0 ]
[ 0.0	 0.0	 0.0	 3369.0	 16633.0	 14143.0	 6947.0	 11833.0	 9549.0	 ] [ 0.0	 0.0	 1391.0	 375.0	 ] [ 2160.0 ]
[ 0.0	 0.0	 3369.0	 16633.0	 14143.0	 6947.0	 11833.0	 9549.0	 11303.0	 ] [ 0.0	 1391.0	 375.0	 2160.0	 ] [ 5685.0 ]
[ 0.0	 3369.0	 16633.0	 14143.0	 6947.0	 11833.0	 9549.0	 11303.0	 12129.0	 ] [ 1391.0	 375.0	 2160.0	 5685.0	 ] [ 1391.0 ]
